Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 15.44      3.15     3.15 260261481     0.01     0.01  b2Vec2::b2Vec2(float, float)
                0.00    0.00   46736/26798723     b2Contact::Destroy(b2Contact*, b2BlockAllocator*) [185]
                0.00    0.00  258076/26798723     b2ContactManager::AddPair(void*, void*) [127]
                0.01    0.00 1835523/26798723     b2ContactManager::Collide() [73]
                0.11    0.00 24611652/26798723     b2World::SolveTOI(b2TimeStep const&) [5]
[54]     0.6    0.12    0.00 26798723         b2Contact::GetFixtureA() [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.5    0.07    0.04                 b2Contact::Update(b2ContactListener*) [55]
                0.03    0.00 2234790/2234790     b2Body::GetTransform() const [106]
                0.01    0.00 2234790/57057044     b2Fixture::GetBody() [43]
                0.00    0.00  155078/1311388     b2Body::SetAwake(bool) [134]
                0.00    0.00  448263/448263      b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [231]
                0.00    0.00   38810/38810       b2ContactListener::BeginContact(b2Contact*) [232]
                0.00    0.00   38729/38729       b2ContactListener::EndContact(b2Contact*) [233]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.5    0.00    0.11                 b2Distance(b2Vec2 const&, b2Vec2 const&) [56]
                0.04    0.03 1374271/3667157     b2Vec2::Length() const [37]
                0.02    0.02 1374271/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.5    0.10    0.00                 b2Rot::b2Rot(float) [57]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.5    0.04    0.06                 b2Cross(b2Vec2 const&, float) [58]
                0.06    0.00 4761304/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.5    0.10    0.00                 b2AABB::Combine(b2AABB const&, b2AABB const&) [59]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.5    0.04    0.06                 b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [60]
                0.02    0.02 1475222/59700628     operator*(float, b2Vec2 const&) [4]
                0.01    0.01  737640/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.5    0.07    0.03                 b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [61]
                0.02    0.00 1656848/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.01    0.01  414212/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[62]     0.5    0.05    0.04                 b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [62]
                0.01    0.01 1006347/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00  274679/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00  274679/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  274679/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[63]     0.5    0.07    0.02                 b2Island::SolveTOI(b2TimeStep const&, int, int) [63]
                0.01    0.01  696614/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  348307/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.5    0.04    0.05                 b2Vec2::Normalize() [64]
                0.03    0.02 1011887/3667157     b2Vec2::Length() const [37]
-----------------------------------------------
                0.00    0.00   46923/3714080     b2MixFriction(float, float) [178]
                0.09    0.00 3667157/3714080     b2Vec2::Length() const [37]
[65]     0.4    0.09    0.00 3714080         std::sqrt(float) [65]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.4    0.09    0.00                 b2GrowableStack<int, 256>::Push(int const&) [66]
-----------------------------------------------
                                                 <spontaneous>
[67]     0.4    0.08    0.01                 b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*) [67]
                0.01    0.00  731434/31160989     float b2Max<float>(float, float) [21]
-----------------------------------------------
                0.00    0.00       1/4752617     cs296::base_sim_t::base_sim_t() [192]
                0.02    0.01 1683916/4752617     b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [53]
                0.03    0.02 3068700/4752617     b2DynamicTree::InsertLeaf(int) [46]
[68]     0.4    0.05    0.03 4752617         b2AABB::b2AABB() [68]
                0.03    0.00 9505234/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[69]     0.4    0.08    0.00                 b2AABB::GetPerimeter() const [69]
-----------------------------------------------
                                                 <spontaneous>
[70]     0.4    0.04    0.04                 b2ContactSolver::WarmStart() [70]
                0.02    0.01 1152204/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  288051/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[71]     0.4    0.04    0.04                 b2SeparationFunction::FindMinSeparation(int*, int*, float) const [71]
                0.01    0.01  907466/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.01    0.00  907466/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[72]     0.3    0.07    0.00                 b2ContactListener::~b2ContactListener() [72]
-----------------------------------------------
                                                 <spontaneous>
[73]     0.3    0.04    0.03                 b2ContactManager::Collide() [73]
                0.01    0.00 3671046/57057044     b2Fixture::GetBody() [43]
                0.01    0.00 1835523/26798723     b2Contact::GetFixtureB() [48]
                0.01    0.00 1835523/26798723     b2Contact::GetFixtureA() [54]
-----------------------------------------------
                                                 <spontaneous>
[74]     0.3    0.04    0.02                 b2DistanceProxy::b2DistanceProxy() [74]
                0.02    0.00 5851472/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[75]     0.3    0.07    0.00                 b2GrowableStack<int, 256>::Pop() [75]
-----------------------------------------------
                                                 <spontaneous>
[76]     0.3    0.02    0.04                 b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [76]
                0.04    0.00  598360/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00  299180/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[77]     0.3    0.02    0.04                 b2Simplex::Solve2() [77]
                0.02    0.00 1583606/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.01    0.01  792581/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[78]     0.3    0.03    0.03                 b2Sweep::b2Sweep() [78]
                0.03    0.00 8778948/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00   34724/4594226     b2EdgeAndCircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [186]
                0.00    0.00   44486/4594226     b2EdgeAndPolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [183]
                0.00    0.00   71888/4594226     b2CircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [180]
                0.01    0.00  733910/4594226     b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [152]
                0.01    0.00  896568/4594226     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [52]
                0.02    0.00 1349782/4594226     b2PolygonAndCircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [126]
                0.02    0.00 1462868/4594226     b2World::SolveTOI(b2TimeStep const&) [5]
[79]     0.3    0.06    0.00 4594226         b2Fixture::GetShape() [79]
-----------------------------------------------
                                                 <spontaneous>
[80]     0.3    0.06    0.00                 b2DynamicTree::Balance(int) [80]
-----------------------------------------------
                                                 <spontaneous>
[81]     0.3    0.06    0.00                 b2BroadPhase::TestOverlap(int, int) const [81]
-----------------------------------------------
                                                 <spontaneous>
[82]     0.3    0.06    0.00                 b2DistanceProxy::GetVertex(int) const [82]
-----------------------------------------------
                                                 <spontaneous>
[83]     0.3    0.06    0.00                 b2Body::IsBullet() const [83]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.3    0.03    0.03                 b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [84]
                0.01    0.01  640000/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  320000/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00  320000/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[85]     0.3    0.03    0.03                 b2SimplexVertex::b2SimplexVertex() [85]
                0.03    0.00 8197569/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[86]     0.3    0.01    0.04                 b2Simplex::GetClosestPoint() const [86]
                0.02    0.01 1090810/59700628     operator*(float, b2Vec2 const&) [4]
                0.01    0.01  545405/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[87]     0.3    0.05    0.00                 b2Mat22::Solve(b2Vec2 const&) const [87]
                0.00    0.00 1173265/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[88]     0.2    0.05    0.00                 b2DynamicTree::RemoveLeaf(int) [88]
-----------------------------------------------
                                                 <spontaneous>
[89]     0.2    0.05    0.00                 b2Sweep::Normalize() [89]
-----------------------------------------------
                                                 <spontaneous>
[90]     0.2    0.05    0.00                 b2Timer::Reset() [90]
-----------------------------------------------
                                                 <spontaneous>
[91]     0.2    0.05    0.00                 b2TreeNode::IsLeaf() const [91]
-----------------------------------------------
                                                 <spontaneous>
[92]     0.2    0.04    0.01                 b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [92]
                0.00    0.00  137907/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00  137907/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  137907/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00  137907/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[93]     0.2    0.04    0.01                 b2Simplex::GetSearchDirection() const [93]
                0.01    0.01  450737/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[94]     0.2    0.03    0.02                 b2Body::SynchronizeFixtures() [94]
                0.01    0.01  761052/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                0.00    0.00      25/2102964     b2PolygonShape::SetAsBox(float, float) [195]
                0.00    0.00      38/2102964     b2CircleShape::b2CircleShape() [204]
                0.00    0.00     107/2102964     b2Body::ResetMassData() [196]
                0.00    0.00     136/2102964     b2PolygonShape::b2PolygonShape() [197]
                0.00    0.00     154/2102964     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [156]
                0.00    0.00     224/2102964     b2Body::b2Body(b2BodyDef const*, b2World*) [201]
                0.00    0.00     314/2102964     b2Body::SetAwake(bool) [134]
                0.00    0.00    7240/2102964     b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.00    0.00    8094/2102964     b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [154]
                0.00    0.00   32676/2102964     b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [176]
                0.02    0.00  933956/2102964     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [52]
                0.02    0.00 1120000/2102964     b2World::ClearForces() [117]
[95]     0.2    0.04    0.00 2102964         b2Vec2::SetZero() [95]
-----------------------------------------------
                                                 <spontaneous>
[96]     0.2    0.04    0.00                 b2BroadPhase::QueryCallback(int) [96]
-----------------------------------------------
                                                 <spontaneous>
[97]     0.2    0.04    0.00                 b2StackAllocator::Allocate(int) [97]
-----------------------------------------------
                                                 <spontaneous>
[98]     0.2    0.04    0.00                 b2Vec2::LengthSquared() const [98]
-----------------------------------------------
                                                 <spontaneous>
[99]     0.2    0.04    0.00                 b2Simplex::WriteCache(b2SimplexCache*) const [99]
-----------------------------------------------
                                                 <spontaneous>
[100]    0.2    0.01    0.03                 b2Body::SynchronizeTransform() [100]
                0.01    0.01 1071037/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[101]    0.2    0.03    0.01                 b2SeparationFunction::b2SeparationFunction() [101]
                0.01    0.00 1463336/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.03    0.00  448284/448284      b2ContactSolver::InitializeVelocityConstraints() [31]
[102]    0.2    0.03    0.00  448284         b2WorldManifold::b2WorldManifold() [102]
                0.00    0.00 1344852/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[103]    0.2    0.02    0.01                 b2Simplex::Solve3() [103]
                0.01    0.00  491850/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00  245925/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[104]    0.2    0.02    0.01                 b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.00    0.00  104020/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   52010/3667157     b2Vec2::Length() const [37]
                0.00    0.00  104020/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   52010/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   44770/649023      b2Vec2::operator*=(float) [119]
                0.00    0.00    7240/2102964     b2Vec2::SetZero() [95]
-----------------------------------------------
                                                 <spontaneous>
[105]    0.1    0.01    0.02                 b2SeparationFunction::Evaluate(int, int, float) const [105]
                0.01    0.01  524302/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.01    0.00  524302/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                0.03    0.00 2234790/2234790     b2Contact::Update(b2ContactListener*) [55]
[106]    0.1    0.03    0.00 2234790         b2Body::GetTransform() const [106]
-----------------------------------------------
                                                 <spontaneous>
[107]    0.1    0.03    0.00                 int b2Max<int>(int, int) [107]
-----------------------------------------------
                                                 <spontaneous>
[108]    0.1    0.03    0.00                 b2DistanceProxy::Set(b2Shape const*, int) [108]
-----------------------------------------------
                                                 <spontaneous>
[109]    0.1    0.03    0.00                 cs296::base_sim_t::mouse_move(b2Vec2 const&) [109]
-----------------------------------------------
                                                 <spontaneous>
[110]    0.1    0.02    0.01                 b2MulT(b2Transform const&, b2Vec2 const&) [110]
                0.01    0.00  759691/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[111]    0.1    0.00    0.03                 b2Sweep::Advance(float) [111]
                0.01    0.01  698196/59700628     operator*(float, b2Vec2 const&) [4]
                0.01    0.00  349098/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[112]    0.1    0.02    0.01                 b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [112]
                0.00    0.00  191639/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00   43560/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00   87120/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[113]    0.1    0.02    0.01                 b2DistanceOutput::b2DistanceOutput() [113]
                0.01    0.00 1821682/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[114]    0.1    0.03    0.00                 b2PairLessThan(b2Pair const&, b2Pair const&) [114]
-----------------------------------------------
                                                 <spontaneous>
[115]    0.1    0.03    0.00                 b2GrowableStack<int, 256>::GetCount() [115]
-----------------------------------------------
                                                 <spontaneous>
[116]    0.1    0.01    0.01                 b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [116]
                0.00    0.00  302551/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00  302551/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[117]    0.1    0.00    0.02                 b2World::ClearForces() [117]
                0.02    0.00 1120000/2102964     b2Vec2::SetZero() [95]
-----------------------------------------------
                                                 <spontaneous>
[118]    0.1    0.02    0.00                 b2Simplex::GetMetric() const [118]
                0.00    0.00     116/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                0.00    0.00       1/649023      ComputeCentroid(b2Vec2 const*, int) [207]
                0.00    0.00      91/649023      b2Body::ResetMassData() [196]
                0.00    0.00     170/649023      b2PolygonShape::ComputeMass(b2MassData*, float) const [157]
                0.00    0.00   31906/649023      b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [154]
                0.00    0.00   44770/649023      b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.02    0.00  572085/649023      b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [19]
[119]    0.1    0.02    0.00  649023         b2Vec2::operator*=(float) [119]
-----------------------------------------------
                                                 <spontaneous>
[120]    0.1    0.02    0.00                 void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*) [120]
-----------------------------------------------
                                                 <spontaneous>
[121]    0.1    0.02    0.00                 b2StackAllocator::Free(void*) [121]
-----------------------------------------------
                                                 <spontaneous>
[122]    0.1    0.02    0.00                 cs296::base_sim_t::keyboard(unsigned char) [122]
-----------------------------------------------
                                                 <spontaneous>
[123]    0.1    0.02    0.00                 b2Contact::SetEnabled(bool) [123]
-----------------------------------------------
                                                 <spontaneous>
[124]    0.1    0.02    0.00                 b2Body::ShouldCollide(b2Body const*) const [124]
-----------------------------------------------
                                                 <spontaneous>
[125]    0.1    0.01    0.01                 b2Body::Advance(float) [125]
                0.00    0.00  348717/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[126]    0.1    0.00    0.02                 b2PolygonAndCircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [126]
                0.02    0.00 1349782/4594226     b2Fixture::GetShape() [79]
-----------------------------------------------
                                                 <spontaneous>
[127]    0.1    0.01    0.01                 b2ContactManager::AddPair(void*, void*) [127]
                0.00    0.00  937864/57057044     b2Fixture::GetBody() [43]
                0.00    0.00  258076/26798723     b2Contact::GetFixtureB() [48]
                0.00    0.00  258076/26798723     b2Contact::GetFixtureA() [54]
                0.00    0.00   93846/1311388     b2Body::SetAwake(bool) [134]
-----------------------------------------------
                                                 <spontaneous>
[128]    0.1    0.01    0.00                 _GLOBAL__sub_I_b2_defaultFilter [128]
-----------------------------------------------
                                                 <spontaneous>
[129]    0.1    0.01    0.00                 b2Body::GetType() const [129]
-----------------------------------------------
                                                 <spontaneous>
[130]    0.1    0.01    0.00                 b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [130]
                0.00    0.00  195792/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00   15750/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   15750/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   15750/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[131]    0.1    0.00    0.01                 b2EPCollider::ComputePolygonSeparation() [131]
                0.00    0.00  256430/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00  341828/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00   85516/28485383     float b2Min<float>(float, float) [29]
                0.00    0.00   21435/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[132]    0.1    0.01    0.00                 b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [132]
                0.00    0.00  110524/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[133]    0.1    0.01    0.00                 b2ContactSolver::StoreImpulses() [133]
                0.00    0.00  272687/1169255     b2Contact::GetManifold() [159]
-----------------------------------------------
                0.00    0.00       3/1311388     b2Body::SetAngularVelocity(float) [220]
                0.00    0.00       4/1311388     b2Body::SetLinearVelocity(b2Vec2 const&) [215]
                0.00    0.00     157/1311388     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [19]
                0.00    0.00   93846/1311388     b2ContactManager::AddPair(void*, void*) [127]
                0.00    0.00  155078/1311388     b2Contact::Update(b2ContactListener*) [55]
                0.00    0.00  348304/1311388     b2World::SolveTOI(b2TimeStep const&) [5]
                0.01    0.00  713996/1311388     b2World::Solve(b2TimeStep const&) [38]
[134]    0.0    0.01    0.00 1311388         b2Body::SetAwake(bool) [134]
                0.00    0.00     314/2102964     b2Vec2::SetZero() [95]
-----------------------------------------------
                                                 <spontaneous>
[135]    0.0    0.01    0.00                 b2BroadPhase::MoveProxy(int, b2AABB const&, b2Vec2 const&) [135]
-----------------------------------------------
                                                 <spontaneous>
[136]    0.0    0.01    0.00                 b2DistanceInput::b2DistanceInput() [136]
-----------------------------------------------
                                                 <spontaneous>
[137]    0.0    0.01    0.00                 b2Rot::b2Rot() [137]
-----------------------------------------------
                                                 <spontaneous>
[138]    0.0    0.01    0.00                 b2Body::GetFixtureList() [138]
-----------------------------------------------
                                                 <spontaneous>
[139]    0.0    0.01    0.00                 b2Island::Add(b2Body*) [139]
-----------------------------------------------
                                                 <spontaneous>
[140]    0.0    0.01    0.00                 b2Island::Add(b2Joint*) [140]
-----------------------------------------------
                                                 <spontaneous>
[141]    0.0    0.01    0.00                 b2Island::Clear() [141]
-----------------------------------------------
                                                 <spontaneous>
[142]    0.0    0.01    0.00                 b2Island::Report(b2ContactVelocityConstraint const*) [142]
                0.00    0.00  448284/448284      b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [230]
-----------------------------------------------
                                                 <spontaneous>
[143]    0.0    0.01    0.00                 b2Simplex::b2Simplex() [143]
-----------------------------------------------
                                                 <spontaneous>
[144]    0.0    0.01    0.00                 b2EdgeShape::ComputeMass(b2MassData*, float) const [144]
-----------------------------------------------
                                                 <spontaneous>
[145]    0.0    0.01    0.00                 b2DynamicTree::GetFatAABB(int) const [145]
-----------------------------------------------
                                                 <spontaneous>
[146]    0.0    0.01    0.00                 b2AABB::Contains(b2AABB const&) const [146]
-----------------------------------------------
                                                 <spontaneous>
[147]    0.0    0.01    0.00                 b2Body::IsActive() const [147]
-----------------------------------------------
                                                 <spontaneous>
[148]    0.0    0.01    0.00                 b2Vec2::IsValid() const [148]
-----------------------------------------------
                                                 <spontaneous>
[149]    0.0    0.01    0.00                 b2Contact::IsTouching() const [149]
-----------------------------------------------
                                                 <spontaneous>
[150]    0.0    0.01    0.00                 void std::__insertion_sort<b2Pair*, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, bool (*)(b2Pair const&, b2Pair const&)) [150]
-----------------------------------------------
                                                 <spontaneous>
[151]    0.0    0.01    0.00                 b2Pair* std::__unguarded_partition<b2Pair*, b2Pair, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, b2Pair const&, bool (*)(b2Pair const&, b2Pair const&)) [151]
-----------------------------------------------
                                                 <spontaneous>
[152]    0.0    0.00    0.01                 b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [152]
                0.01    0.00  733910/4594226     b2Fixture::GetShape() [79]
-----------------------------------------------
                                                 <spontaneous>
[153]    0.0    0.00    0.01                 b2PositionSolverManifold::b2PositionSolverManifold() [153]
                0.01    0.00 2417314/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[154]    0.0    0.00    0.01                 b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [154]
                0.00    0.00   80000/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   40000/3667157     b2Vec2::Length() const [37]
                0.00    0.00   80000/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   40000/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   31906/649023      b2Vec2::operator*=(float) [119]
                0.00    0.00    8094/2102964     b2Vec2::SetZero() [95]
-----------------------------------------------
                                                 <spontaneous>
[155]    0.0    0.00    0.01                 b2Mat22::b2Mat22() [155]
                0.01    0.00 2383160/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[156]    0.0    0.00    0.01                 b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [156]
                0.00    0.00   83190/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   51369/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00   82951/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00   17123/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   13742/260261481     b2Vec2::b2Vec2(float, float) [1]
                0.00    0.00     154/2102964     b2Vec2::SetZero() [95]
-----------------------------------------------
                                                 <spontaneous>
[157]    0.0    0.01    0.00                 b2PolygonShape::ComputeMass(b2MassData*, float) const [157]
                0.00    0.00     680/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00     425/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00     340/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00     170/649023      b2Vec2::operator*=(float) [119]
                0.00    0.00      85/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00     170/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00      85/260261481     b2Vec2::b2Vec2(float, float) [1]
                0.00    0.00      85/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[158]    0.0    0.00    0.01                 main [158]
                0.01    0.00   40000/40000       b2World::GetProfile() const [160]
                0.00    0.00       1/1           cs296::dominos_t::create() [190]
                0.00    0.00       1/1           cs296::base_sim_t::get_world() [254]
-----------------------------------------------
                0.00    0.00  272687/1169255     b2ContactSolver::StoreImpulses() [133]
                0.00    0.00  448284/1169255     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [52]
                0.00    0.00  448284/1169255     b2ContactSolver::InitializeVelocityConstraints() [31]
[159]    0.0    0.01    0.00 1169255         b2Contact::GetManifold() [159]
-----------------------------------------------
                0.01    0.00   40000/40000       main [158]
[160]    0.0    0.01    0.00   40000         b2World::GetProfile() const [160]
-----------------------------------------------
                                                 <spontaneous>
[161]    0.0    0.01    0.00                 float b2Abs<float>(float) [161]
-----------------------------------------------
                                                 <spontaneous>
[162]    0.0    0.01    0.00                 b2PulleyJoint::~b2PulleyJoint() [162]
-----------------------------------------------
                                                 <spontaneous>
[163]    0.0    0.01    0.00                 b2ContactFilter::ShouldCollide(b2Fixture*, b2Fixture*) [163]
-----------------------------------------------
                                                 <spontaneous>
[164]    0.0    0.01    0.00                 b2RevoluteJoint::Dump() [164]
-----------------------------------------------
                                                 <spontaneous>
[165]    0.0    0.01    0.00                 b2Body::GetContactList() [165]
-----------------------------------------------
                                                 <spontaneous>
[166]    0.0    0.01    0.00                 b2Body::GetNext() [166]
